KEY,TRANSACTION_UNIQUE_IDENTIFIER,PRICE,DATE_OF_TRANSFER,POSTCODE,PROPERTY_TYPE,OLD_NEW,DURATION,PAON,SAON,STREET,LOCALITY,TOWN_CITY,DISTRICT,COUNTY,PPD_CATEGORY_TYPE,RECORD_STATUS_MONTHLY_FILE_ONLY,__index_level_0__,TOTAL_FLOOR_AREA
12orbiswharfbridgescourtroadsw113gw,{D221EB77-5873-49D3-8C64-2645D2B724E7},565000,2013-10-29 00:00,SW11 3GW,F,N,L,ORBIS WHARF,12,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,18416224,
13orbiswharfbridgescourtroadsw113gw,{72EBA94D-3215-426E-8C8B-53946530E779},450000,2010-04-23 00:00,SW11 3GW,F,Y,L,ORBIS WHARF,13,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,16692039,79.0
16orbiswharfbridgescourtroadsw113gw,{726BF13B-5804-0A46-E053-6C04A8C01D0D},123750,2018-06-01 00:00,SW11 3GW,F,N,L,ORBIS WHARF,16,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,23719219,47.0
28orbiswharfbridgescourtroadsw113gw,{D574DC62-A7A1-4DA4-912F-8E05682F27C2},695000,2015-07-14 00:00,SW11 3GW,F,N,L,ORBIS WHARF,28,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,20739792,
2orbiswharfbridgescourtroadsw113gw,{C3BC5CA4-8315-4250-A065-08F62D931C7F},632500,2014-09-12 00:00,SW11 3GW,F,N,L,ORBIS WHARF,2,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,19250064,150.0
38orbiswharfbridgescourtroadsw113gw,{01EB45F0-4017-40F3-E063-4704A8C05FDE},148750,2023-07-03 00:00,SW11 3GW,F,N,L,ORBIS WHARF,38,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,29042105,71.0
45orbiswharfbridgescourtroadsw113gw,{EA3278AA-9138-2676-E053-6B04A8C015F8},425000,2022-08-24 00:00,SW11 3GW,F,N,L,ORBIS WHARF,45,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,27761717,53.0
52orbiswharfbridgescourtroadsw113gw,{5A9D8B55-C1C5-68EB-E053-6B04A8C0D293},141000,2017-09-22 00:00,SW11 3GW,F,N,L,ORBIS WHARF,52,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,22301937,
54orbiswharfbridgescourtroadsw113gw,{D52B567B-5932-4265-A323-593EF30C0C89},172500,2013-12-06 00:00,SW11 3GW,F,N,L,ORBIS WHARF,54,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,18509282,48.0
5orbiswharfbridgescourtroadsw113gw,{B4CE1BE2-3B7A-439F-B42A-F94B1F455CA2},497500,2014-06-19 00:00,SW11 3GW,F,N,L,ORBIS WHARF,5,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,19421232,103.0
71orbiswharfbridgescourtroadsw113gw,{4C4EDFFF-F413-1854-E050-A8C063054F34},198000,2017-03-09 00:00,SW11 3GW,F,N,L,ORBIS WHARF,71,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,22149251,49.0
15orbiswharfbridgescourtroadsw113gw,{87AF2FF9-29CA-4A72-A85C-62C465B2E061},130000,2013-09-27 00:00,SW11 3GW,F,N,L,ORBIS WHARF,15,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,18432103,
15orbiswharfbridgescourtroadsw113gw,{75050A85-BB1A-9A88-E053-6B04A8C02390},235000,2018-04-27 00:00,SW11 3GW,F,N,L,ORBIS WHARF,15,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,23192205,
3orbiswharfbridgescourtroadsw113gw,{21E5FEB7-8ECD-2439-E050-A8C06205342E},925000,2015-02-27 00:00,SW11 3GW,O,N,L,ORBIS WHARF,3,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,B,A,20931286,151.0
47orbiswharfbridgescourtroadsw113gw,{2413E25C-5861-4EA2-B9A8-E461D032A133},350000,2013-03-04 00:00,SW11 3GW,F,N,L,ORBIS WHARF,47,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,18455265,
47orbiswharfbridgescourtroadsw113gw,{42A5A709-CA90-56E8-E050-A8C06205331E},470000,2016-11-18 00:00,SW11 3GW,F,N,L,ORBIS WHARF,47,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,21127620,
57orbiswharfbridgescourtroadsw113gw,{241A4A53-CEB8-706B-E050-A8C06205638B},200000,2015-10-20 00:00,SW11 3GW,F,N,L,ORBIS WHARF,57,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,20151677,
60orbiswharfbridgescourtroadsw113gw,{42A5A709-CAA3-56E8-E050-A8C06205331E},119375,2016-11-10 00:00,SW11 3GW,F,N,L,ORBIS WHARF,60,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,21129603,
61orbiswharfbridgescourtroadsw113gw,{49B7852A-8A57-7921-E050-A8C063056E8D},126250,2016-12-07 00:00,SW11 3GW,F,N,L,ORBIS WHARF,61,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,21649048,
69orbiswharfbridgescourtroadsw113gw,{80E1AA98-B191-7BF8-E053-6C04A8C00BF2},425000,2018-11-30 00:00,SW11 3GW,F,N,L,ORBIS WHARF,69,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,23363521,49.0
69orbiswharfbridgescourtroadsw113gw,{09266DDC-22A5-AF90-E063-4704A8C02087},420000,2023-07-21 00:00,SW11 3GW,F,N,L,ORBIS WHARF,69,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,28483401,49.0
70orbiswharfbridgescourtroadsw113gw,{ADC83416-BBB6-4362-886F-5B20C400E387},160000,2015-05-22 00:00,SW11 3GW,F,N,L,ORBIS WHARF,70,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,20203177,49.0
1orbiswharfbridgescourtroadsw113gw,{DC67EEBF-FB46-4137-8906-903D2134EFFF},475000,2014-08-01 00:00,SW11 3GW,F,N,L,ORBIS WHARF,1,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,19358054,98.0
25orbiswharfbridgescourtroadsw113gw,{6355DA57-0AD1-4518-AB6B-645B151B4495},178750,2013-10-25 00:00,SW11 3GW,F,N,L,ORBIS WHARF,25,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,18920173,48.0
27orbiswharfbridgescourtroadsw113gw,{EFA28F6F-A073-4304-8CEC-354D9A47C668},493400,2013-06-25 00:00,SW11 3GW,F,N,L,ORBIS WHARF,27,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,18812700,
39orbiswharfbridgescourtroadsw113gw,{9DBAD222-4C02-6EB3-E053-6B04A8C0F257},385000,2019-08-08 00:00,SW11 3GW,F,N,L,ORBIS WHARF,39,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,24733910,
43orbiswharfbridgescourtroadsw113gw,{06C9F487-CD52-9388-E063-4804A8C0BD98},570000,2023-09-04 00:00,SW11 3GW,F,N,L,ORBIS WHARF,43,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,28696228,
43orbiswharfbridgescourtroadsw113gw,{726BF13B-5815-0A46-E053-6C04A8C01D0D},550000,2018-07-06 00:00,SW11 3GW,F,N,L,ORBIS WHARF,43,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,23719234,
56orbiswharfbridgescourtroadsw113gw,{0D184166-D605-4034-83F6-9C7CDC704DF9},172500,2013-10-03 00:00,SW11 3GW,F,N,L,ORBIS WHARF,56,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,18872416,49.0
56orbiswharfbridgescourtroadsw113gw,{2FD36066-16B8-4BF8-E050-A8C0620562B1},425000,2016-03-16 00:00,SW11 3GW,F,N,L,ORBIS WHARF,56,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,B,A,21561361,49.0
67orbiswharfbridgescourtroadsw113gw,{64342BFE-EA36-422C-E053-6C04A8C0FB8A},435000,2018-01-02 00:00,SW11 3GW,F,N,L,ORBIS WHARF,67,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,23241640,
34orbiswharfbridgescourtroadsw113gw,{E2D14906-1E25-4C2D-E053-6B04A8C0422B},495000,2021-09-24 00:00,SW11 3GW,F,N,L,ORBIS WHARF,34,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,26274177,
42orbiswharfbridgescourtroadsw113gw,{75050A85-BB25-9A88-E053-6B04A8C02390},210000,2018-07-17 00:00,SW11 3GW,F,N,L,ORBIS WHARF,42,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,23192216,
44orbiswharfbridgescourtroadsw113gw,{3B7E0B90-7984-EA99-E050-A8C062057E77},765000,2016-06-27 00:00,SW11 3GW,F,N,L,ORBIS WHARF,44,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,21867819,84.0
46orbiswharfbridgescourtroadsw113gw,{2235CCD2-E308-4A68-826B-633CE74CD476},106250,2014-10-01 00:00,SW11 3GW,F,N,L,ORBIS WHARF,46,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,19381850,48.0
55orbiswharfbridgescourtroadsw113gw,{7A1C2BBB-29BA-45C1-81CD-1DCF56F6EC1E},124000,2013-04-16 00:00,SW11 3GW,F,N,L,ORBIS WHARF,55,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,18679850,50.0
55orbiswharfbridgescourtroadsw113gw,{965B6D91-F5D2-95E4-E053-6C04A8C07729},390000,2019-07-31 00:00,SW11 3GW,F,N,L,ORBIS WHARF,55,BRIDGES COURT ROAD,nan,LONDON,WANDSWORTH,GREATER LONDON,A,A,25056517,50.0
