ADDRESS,POSTCODE,TOTAL_FLOOR_AREA,__index_level_0__,KEY
"5 Orbis Wharf, Bridges Court Road",SW11 3GW,103,444529,5orbiswharfbridgescourtroadsw113gw
"2 Orbis Wharf, Bridges Court Road",SW11 3GW,148,829164,2orbiswharfbridgescourtroadsw113gw
"1 Orbis Wharf, Bridges Court Road",SW11 3GW,98,231919,1orbiswharfbridgescourtroadsw113gw
"3 Orbis Wharf, Bridges Court Road",SW11 3GW,151,279309,3orbiswharfbridgescourtroadsw113gw
"34 ORBIS WHARF, BRIDGES COURT ROAD, LONDON",SW11 3GW,61,894803,34orbiswharfbridgescourtroadlondonsw113gw
"32 ORBIS WHARF, BRIDGES COURT ROAD, LONDON",SW11 3GW,50,956204,32orbiswharfbridgescourtroadlondonsw113gw
"36 Orbis Wharf, Bridges Court Road",SW11 3GW,60,812952,36orbiswharfbridgescourtroadsw113gw
"69 Orbis Wharf, Bridges Court Road",SW11 3GW,49,892160,69orbiswharfbridgescourtroadsw113gw
"53 Orbis Wharf, Bridges Court Road",SW11 3GW,74,894411,53orbiswharfbridgescourtroadsw113gw
"51 ORBIS WHARF, BRIDGES COURT ROAD, LONDON",SW11 3GW,64,1424595,51orbiswharfbridgescourtroadlondonsw113gw
"40 ORBIS WHARF, BRIDGES COURT ROAD, LONDON",SW11 3GW,49,1460866,40orbiswharfbridgescourtroadlondonsw113gw
"44 Orbis Wharf, Bridges Court Road",SW11 3GW,84,949215,44orbiswharfbridgescourtroadsw113gw
"59 Orbis Wharf, Bridges Court Road",SW11 3GW,67,83903,59orbiswharfbridgescourtroadsw113gw
"2 Orbis Wharf, Bridges Court Road",SW11 3GW,150,86611,2orbiswharfbridgescourtroadsw113gw
"58 Orbis Wharf, Bridges Court Road",SW11 3GW,88,1289056,58orbiswharfbridgescourtroadsw113gw
"13 Orbis Wharf, Bridges Court Road",SW11 3GW,79,1077917,13orbiswharfbridgescourtroadsw113gw
"54 Orbis Wharf, Bridges Court Road",SW11 3GW,48,798085,54orbiswharfbridgescourtroadsw113gw
"64 Orbis Wharf, Bridges Court Road",SW11 3GW,65,174091,64orbiswharfbridgescourtroadsw113gw
"23 ORBIS WHARF, BRIDGES COURT ROAD, LONDON",SW11 3GW,45,1398969,23orbiswharfbridgescourtroadlondonsw113gw
"56 Orbis Wharf, Bridges Court Road",SW11 3GW,49,1347604,56orbiswharfbridgescourtroadsw113gw
"37 Orbis Wharf, Bridges Court Road",SW11 3GW,52,656204,37orbiswharfbridgescourtroadsw113gw
"75 Orbis Wharf, Bridges Court Road",SW11 3GW,56,359214,75orbiswharfbridgescourtroadsw113gw
"25 Orbis Wharf, Bridges Court Road",SW11 3GW,48,1145599,25orbiswharfbridgescourtroadsw113gw
